URL.to.paper	DOI	Journal	Publisher	Title	Author	Year	author_year	BibTeX.citation	Taxonomy
http://onlinelibrary.wiley.com/doi/10.1002/ece3.1186/abstract	10.1002/ece3.1186	Functional Ecology	Wiley	Wind dispersal is predicted by tree, not diaspore, traits in comparisons of neotropical species	Augspurger	2016	.augspurger.2016b	@article{augspurger2016, title={A trait-based trade-off between growth and mortality: evidence from 15 tropical tree species using size-specific relative growth rates}, volume={4}, number={18}, journal={Ecology and Evolution}, author={Philipson, Cristopher D. and Dent, Daisy H.}, year={2014}, month={Sep}, pages={3675--3688}}	Plantae
https://academic.oup.com/biolinnean/article-lookup/doi/10.1111/bij.12429#43637132	10.1111/bij.12429	Biological Journal of the Linnean Society	The Linnean Society of London	Is allometry of sexual traits adaptive? A field test with territorial damselflies	Bello-Bedoy	2015	.bello_bedoy.2015a	@article{bellobedoy2015,author = {Bello-Bedoy, Rafael and Gonz\'{a}lez-Santoyo, Isaac and Serrano-Meneses, Mart\'{i}n Alejandro and Vrech, David and Rivas, Miguel and Mungu\'{i}a-Steyer, Roberto and C\'{o}rdoba-Aguilar, Alex},title = {Is allometry of sexual traits adaptive? A field test with territorial damselflies},journal = {Biological Journal of the Linnean Society},volume = {114},number = {2},pages = {327},year = {2015},doi = {10.1111/bij.12429},URL = { + http://dx.doi.org/10.1111/bij.12429},eprint = {/oup/backfile/Content_public/Journal/biolinnean/114/2/10.1111_bij.12429/2/bij12429.pdf}}	Animalia/Zygoptera
https://academic.oup.com/biolinnean/article-lookup/doi/10.1111/bij.12429#43637132	10.1111/bij.12429	Biological Journal of the Linnean Society	The Linnean Society of London	Is allometry of sexual traits adaptive? A field test with territorial damselflies	Bello-Bedoy	2015	.bello_bedoy.2015b	@article{bellobedoy2015,author = {Bello-Bedoy, Rafael and Gonz\'{a}lez-Santoyo, Isaac and Serrano-Meneses, Mart\'{i}n Alejandro and Vrech, David and Rivas, Miguel and Mungu\'{i}a-Steyer, Roberto and C\'{o}rdoba-Aguilar, Alex},title = {Is allometry of sexual traits adaptive? A field test with territorial damselflies},journal = {Biological Journal of the Linnean Society},volume = {114},number = {2},pages = {327},year = {2015},doi = {10.1111/bij.12429},URL = { + http://dx.doi.org/10.1111/bij.12429},eprint = {/oup/backfile/Content_public/Journal/biolinnean/114/2/10.1111_bij.12429/2/bij12429.pdf}}	Animalia/Zygoptera
http://onlinelibrary.wiley.com/doi/10.1002/ecy.1680/abstract	10.1002/ecy.1680	ESA Data Archives	Wiley	A life cycle database for parasitic acanthocephalans, cestodes, and nematodes	Benesh	2017	.benesh.2017	@article{benesh2016,  title={A life cycle database for parasitic acanthocephalans, cestodes, and nematodes},  author={Benesh, Daniel P and Lafferty, Kevin D and Kuris, Armand},  journal={Ecology},  year={2016},  publisher={Wiley Online Library}}	Animalia
http://onlinelibrary.wiley.com/doi/10.1002/ece3.2119/full	10.1002/ece3.2119	Ecology and Evolution	Wiley Online Library	Photosynthesis, growth, and decay traits in Sphagnum -- a multispecies comparison	Bengtsson	2016	.bengtsson.2016	@article{bengtsson2016,  title={Photosynthesis, growth, and decay traits in Sphagnum--a multispecies comparison}, author={Bengtsson, Fia and Granath, Gustaf and Rydin, H{\aa}kan}, journal={Ecology and evolution}, volume={6}, number={10}, pages={3325--3341}, year={2016},publisher={Wiley Online Library}}	Plantae/Bryophyta/Sphagnopsida/Sphagnales/Sphagnaceae/Sphagnum
https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2745.12614	10.1111/1365-2745.12614	Journal of Ecology	Wiley	The reciprocal relationship between competition and intraspecific trait variation	Bennett	2016	.bennett.2016	@article{doi:10.1111/1365-2745.12614, author = {Bennett, Jonathan A. and Riibak, Kersti and Tamme, Riin and Lewis, Rob J. and Pärtel, Meelis}, title = {The reciprocal relationship between competition and intraspecific trait variation}, journal = {Journal of Ecology}, volume = {104}, number = {5}, pages = {1410-1420}, keywords = {biomass allocation, biotic interactions, community assembly, competitive hierarchies, functional diversity, plant–plant interactions, specific leaf area, specific root length, trait clustering, trait divergence}, doi = {10.1111/1365-2745.12614}, url = {https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12614}, eprint = {https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.12614}, abstract = {Summary Trait differences among plants are expected to influence the outcome of competition; competition should be strongest between similar species (or individuals) under limiting similarity, and between dissimilar species within competitive hierarchies. These hypotheses are often used to infer competitive dynamics from trait patterns within communities. However, plant traits are frequently plastic in response to competition. This variation is poorly accounted for in trait-based studies of competition and community assembly. To explore the relationship between trait responses and competitive outcomes, we grew 15 species alone, in monoculture and in mixture. We measured traits relating to leaf and root tissue morphology as well as biomass allocation and related competition-induced changes in these traits to intra- and interspecific competition using multi-model inference. Additionally, we tested how traits from different competitive environments influenced potential community assembly inferences. The competitive environment had large effects on species’ traits, although many effects were species specific. Differences among species in how competition affected trait expression were linked to both intra- and interspecific competition, frequently affecting competitive hierarchies. Intraspecific competition was lower for species that limited competition-induced increases in root allocation and had less variability in this trait overall. Interspecific competition was lower for species with larger leaves and lower specific leaf area than their neighbours. Switching to more stress-tolerant strategies by increasing root diameter and leaf tissue density also reduced competition. However, dissimilarity in root tissue density also minimized competition, consistent with limiting similarity affecting competitive outcomes. Moreover, changes in these traits were linked to changes in functional diversity, suggesting that competition affects functional diversity by affecting trait expression. Synthesis. Both trait hierarchies and trait dissimilarity affect the outcome of competition by acting on different traits, although competition-induced changes in trait expression can alter competitive outcomes. Moreover, the magnitude of these trait changes suggests that the source environment where plant traits are collected can affect the inferences drawn from trait patterns within communities. Combined, our results suggest that considering the effect of competition on trait expression is critical to understanding the relationship between traits and community assembly.},, year = {2016} }	Plantae
http://onlinelibrary.wiley.com/doi/10.1111/evo.13062/abstract;jsessionid=1A045F97E2EBF468882FCFFFCEC342E6.f02t04	http://dx.doi.org/10.5061/dryad.k186f	Evolution	Wiley	Enemy at the gates: rapid defensive trait diversification in an adaptive radiation of lizards	Broeckhoven	2016	.broeckhoven.2016	@article{broeckhoven2016,  title={Enemy at the gates: Rapid defensive trait diversification in an adaptive radiation of lizards},  author={Broeckhoven, Chris and Diedericks, Genevieve and Hui, Cang and Makhubo, Buyisile G and Mouton, PLFN},  journal={Evolution},  volume={70},  number={11},  pages={2647--2656},  year={2016},  publisher={Wiley Online Library}}	Animalia/Reptilia 
http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12521/abstract	10.1111/1365-2664.12521	Journal of Applied Ecology	Wiley Online Library	Demography, traits and vulnerability to urbanization: can we make generalizations?	Brown	2015	.brown.2015	@article {JPE:JPE12521,author = {Brown, Leone M. and Graham, Catherine H.},title = {Demography, traits and vulnerability to urbanization: can we makegeneralizations?},journal = {Journal of Applied Ecology},volume = {52},number = {6},issn = {1365-2664},url = {http://dx.doi.org/10.1111/1365-2664.12521},doi = {10.1111/1365-2664.12521},pages = {1455--1464},keywords = {birds, conservation, demography, environmental filtering, humandisturbance, life-history, reproduction, survival, traits, urbanization},year = {2015}}	Animalia/Chordata/Aves
http://onlinelibrary.wiley.com/doi/10.1111/1365-2435.12579/abstract?systemMessage=Pay+per+view+article+purchase%28PPV%29+on+Wiley+Online+Library+will+be+unavailable+on+Saturday+11th+March+from+05%3A00-14%3A00+GMT+%2F+12%3A00-09%3A00+EST+%2F+13%3A00-22%3A00+SGT+for+essential+maintenance.++Apologies+for+the+inconvenience.	10.1111/1365-2435.12579	Functional Ecology	Wiley	Re-growing a tropical dry forest: functional plant trait composition and community assembly during succession	Buzzard	2015	.buzzard.2015	@article{buzzard2015, title={Re-growing a tropical dry forest: functional plant trait composition and community assembly during succession} author={Buzzard, Vanessa and Hulshof, Catherine M and Birt, Trevor and Violle, Cyrille and Enquist, Brian J} journal={Functional Ecology} year={2015}, publisher={Wiley Online Library}}	Plantae
http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0151482#sec007	10.1371/journal.pone.0151482	PLOS ONE	PLOS	The Allometry of Bee Proboscis Length and Its Uses in Ecology	Cariveau	2016	.cariveau.2016	@article{cariveau2016,title={The allometry of bee proboscis length and its uses in ecology},author={Cariveau, Daniel P and Nayak, Geetha K and Bartomeus, Ignasi and Zientek, Joseph and Ascher, John S and Gibbs, Jason and Winfree, Rachael},journal={PloS one},volume={11},number={3},pages={e0151482},year={2016},publisher={Public Library of Science}}	Animalia/Insecta/Hymenoptera
